filename,width,height,class,xmin,ymin,xmax,ymax
imageSample0.jpg,800,600,Weed,422,134,490,180
imageSample0.jpg,800,600,Weed,452,1,536,53
imageSample1.jpg,800,600,Weed,236,136,279,197
imageSample1.jpg,800,600,Weed,673,49,743,91
imageSample10.jpg,800,600,Weed,474,331,531,398
imageSample10.jpg,800,600,Weed,495,65,535,95
imageSample100.jpg,800,600,Weed,421,211,478,286
imageSample100.jpg,800,600,Weed,442,291,499,382
imageSample100.jpg,800,600,Weed,26,109,91,315
imageSample100.jpg,800,600,Weed,418,440,506,522
imageSample100.jpg,800,600,Weed,117,466,241,532
imageSample100.jpg,800,600,Weed,4,403,53,530
imageSample100.jpg,800,600,Weed,217,402,246,442
imageSample100.jpg,800,600,Weed,232,470,421,544
imageSample100.jpg,800,600,Weed,428,527,482,600
imageSample100.jpg,800,600,Weed,508,472,567,518
imageSample100.jpg,800,600,Weed,622,496,693,544
imageSample101.jpg,800,600,Weed,1,473,47,560
imageSample101.jpg,800,600,Weed,414,397,453,450
imageSample101.jpg,800,600,Weed,162,4,240,67
imageSample101.jpg,800,600,Weed,371,7,548,114
imageSample101.jpg,800,600,Weed,577,16,714,73
imageSample102.jpg,800,600,Weed,100,355,164,386
imageSample102.jpg,800,600,Weed,288,141,355,200
imageSample102.jpg,800,600,Weed,387,164,574,221
imageSample102.jpg,800,600,Weed,272,347,321,433
imageSample102.jpg,800,600,Weed,238,511,301,581
imageSample102.jpg,800,600,Weed,690,295,774,384
imageSample102.jpg,800,600,Weed,705,396,800,544
imageSample102.jpg,800,600,Weed,695,534,776,600
imageSample102.jpg,800,600,Weed,698,77,800,280
imageSample102.jpg,800,600,Weed,746,2,800,59
imageSample102.jpg,800,600,Weed,605,150,688,225
imageSample103.jpg,800,600,Weed,140,187,205,230
imageSample103.jpg,800,600,Weed,381,182,439,239
imageSample103.jpg,800,600,Weed,579,185,668,247
imageSample103.jpg,800,600,Weed,719,75,767,139
imageSample103.jpg,800,600,Weed,706,142,752,208
imageSample103.jpg,800,600,Weed,738,261,789,320
imageSample103.jpg,800,600,Weed,589,400,755,475
imageSample103.jpg,800,600,Weed,704,349,772,443
imageSample103.jpg,800,600,Weed,739,428,795,556
imageSample103.jpg,800,600,Weed,705,550,755,600
imageSample104.jpg,800,600,Weed,288,171,348,241
imageSample104.jpg,800,600,Weed,451,178,534,221
imageSample104.jpg,800,600,Weed,543,154,620,197
imageSample104.jpg,800,600,Weed,672,75,729,123
imageSample104.jpg,800,600,Weed,681,128,779,191
imageSample104.jpg,800,600,Weed,632,172,736,228
imageSample104.jpg,800,600,Weed,698,323,742,378
imageSample104.jpg,800,600,Weed,708,454,765,526
imageSample104.jpg,800,600,Weed,697,519,759,596
imageSample105.jpg,800,600,Weed,72,184,116,219
imageSample105.jpg,800,600,Weed,510,149,639,201
imageSample105.jpg,800,600,Weed,688,111,774,208
imageSample105.jpg,800,600,Weed,699,280,753,365
imageSample105.jpg,800,600,Weed,705,363,765,424
imageSample105.jpg,800,600,Weed,462,408,489,444
imageSample105.jpg,800,600,Weed,699,504,757,557
imageSample105.jpg,800,600,Weed,712,557,788,599
imageSample105.jpg,800,600,Weed,358,159,438,213
imageSample105.jpg,800,600,Weed,268,66,315,126
imageSample105.jpg,800,600,Weed,302,215,326,246
imageSample105.jpg,800,600,Weed,299,456,346,530
imageSample106.jpg,800,600,Weed,135,115,250,201
imageSample106.jpg,800,600,Weed,46,546,99,588
imageSample106.jpg,800,600,Weed,669,103,761,184
imageSample106.jpg,800,600,Weed,672,308,750,422
imageSample106.jpg,800,600,Weed,470,542,610,595
imageSample106.jpg,800,600,Weed,661,485,713,580
imageSample106.jpg,800,600,Weed,674,2,726,77
imageSample106.jpg,800,600,Weed,571,133,653,185
imageSample106.jpg,800,600,Weed,693,218,758,277
imageSample107.jpg,800,600,Weed,177,386,259,498
imageSample107.jpg,800,600,Weed,168,530,265,594
imageSample107.jpg,800,600,Weed,513,122,553,163
imageSample107.jpg,800,600,Weed,601,130,707,194
imageSample107.jpg,800,600,Weed,184,101,301,185
imageSample107.jpg,800,600,Weed,302,124,391,196
imageSample107.jpg,800,600,Weed,410,59,476,164
imageSample107.jpg,800,600,Weed,46,85,158,190
imageSample107.jpg,800,600,Weed,439,201,483,275
imageSample107.jpg,800,600,Weed,641,42,673,76
imageSample107.jpg,800,600,Weed,1,11,46,72
imageSample107.jpg,800,600,Weed,1,216,32,266
imageSample107.jpg,800,600,Weed,1,369,36,478
imageSample108.jpg,800,600,Weed,101,172,176,243
imageSample108.jpg,800,600,Weed,417,164,507,232
imageSample108.jpg,800,600,Weed,685,186,738,223
imageSample108.jpg,800,600,Weed,1,149,86,227
imageSample108.jpg,800,600,Weed,758,63,796,132
imageSample108.jpg,800,600,Weed,751,449,800,586
imageSample108.jpg,800,600,Weed,770,268,800,327
imageSample108.jpg,800,600,Weed,207,163,242,204
imageSample108.jpg,800,600,Weed,558,1,607,90
imageSample11.jpg,800,600,Weed,471,330,545,403
imageSample11.jpg,800,600,Weed,493,69,536,95
imageSample110.jpg,800,600,Weed,303,270,439,350
imageSample110.jpg,800,600,Weed,682,292,800,366
imageSample110.jpg,800,600,Weed,34,359,100,469
imageSample110.jpg,800,600,Weed,38,484,105,574
imageSample110.jpg,800,600,Weed,481,166,538,250
imageSample110.jpg,800,600,Weed,53,45,119,151
imageSample110.jpg,800,600,Weed,279,63,330,159
imageSample110.jpg,800,600,Weed,110,263,206,359
imageSample110.jpg,800,600,Weed,46,265,101,339
